trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,hour,peak_hour,delay_minutes,passenger_count,occupancy_rate,route_id,temperature,humidity,wind_speed
3961-X-UP-54919,1900-01-01 18:30:15,1900-01-01 18:30:30,RTnwKdcX,26,8,18.0,1,12,72,1.2,3961,35.66,52,2.24
4617-X-DOWN-40603,1900-01-01 07:40:30,1900-01-01 07:40:45,BxmxkKGC,19,"{'fareStageNumber': '7', 'isStageStop': true}",7.0,1,4,55,0.9166666666666666,4617,35.66,52,2.24
7-Z-UP-105101,1900-01-01 08:56:15,1900-01-01 08:56:30,b8005a7a060e5deecbd69f664c0bdd6a,46,18,8.0,1,11,60,1.0,7,35.66,52,2.24
3577-O-DOWN-36834,1900-01-01 18:57:45,1900-01-01 18:58:00,cf928e772f29c5cfb79642e39b0b7c16,20,"{'fareStageNumber': '12', 'isStageStop': true}",18.0,1,2,43,0.7166666666666667,3577,35.66,52,2.24
750-S-UP-5518,1900-01-01 11:32:15,1900-01-01 11:32:30,GWhCmjED,2,1,11.0,0,11,73,1.2166666666666666,750,35.66,52,2.24
584-S-UP-59474,1900-01-01 17:54:15,1900-01-01 17:54:30,WOOyqinT,14,6,17.0,1,4,31,0.5166666666666667,584,35.66,52,2.24
5230-O-UP-101425,1900-01-01 06:56:15,1900-01-01 06:56:30,2,6,"{'fareStageNumber': '6', 'isStageStop': true}",6.0,0,15,21,0.35,5230,35.66,52,2.24
2986-SE-UP-108335,1900-01-01 07:36:30,1900-01-01 07:36:45,AszcEtOu,35,9,7.0,1,5,28,0.4666666666666667,2986,35.66,52,2.24
999-O-DOWN-50610,1900-01-01 12:44:45,1900-01-01 12:45:00,mnkgCFDT,12,"{'fareStageNumber': '6', 'isStageStop': true}",12.0,0,9,72,1.2,999,35.66,52,2.24
1852-O-UP-11348,1900-01-01 10:10:30,1900-01-01 10:10:45,yHaTCNJc,39,16,10.0,1,4,29,0.4833333333333333,1852,35.66,52,2.24
2486-O-DOWN-44066,1900-01-01 18:45:15,1900-01-01 18:45:30,neNWquOh,30,9,18.0,1,16,59,0.9833333333333332,2486,35.66,52,2.24
5666-SE-DOWN-116637,1900-01-01 12:20:00,1900-01-01 12:20:15,1893,1,"{'fareStageNumber': '1', 'isStageStop': true}",12.0,0,10,19,0.3166666666666666,5666,35.66,52,2.24
2579-S-UP-19660,1900-01-01 09:59:30,1900-01-01 09:59:30,ogOCBKAf,43,"{'fareStageNumber': '20', 'isStageStop': true}",9.0,1,9,70,1.1666666666666667,2579,35.66,52,2.24
2288-O-UP-50601,1900-01-01 08:25:15,1900-01-01 08:25:30,NPqatCDm,30,"{'fareStageNumber': '9', 'isStageStop': true}",8.0,1,2,26,0.4333333333333333,2288,35.66,52,2.24
4405-O-DOWN-74724,1900-01-01 18:10:30,1900-01-01 18:10:45,KjgVoxgR,19,7,18.0,1,1,25,0.4166666666666667,4405,35.66,52,2.24
3062-O-UP-22758,1900-01-01 16:47:45,1900-01-01 16:48:00,GYxWnXpv,20,9,16.0,0,18,40,0.6666666666666666,3062,35.66,52,2.24
3116-S-DOWN-47251,1900-01-01 07:30:00,1900-01-01 07:30:00,538,21,"{'fareStageNumber': '21', 'isStageStop': true}",7.0,1,13,61,1.0166666666666666,3116,35.66,52,2.24
115-O-UP-135879,1900-01-01 11:01:30,1900-01-01 11:01:45,ysSWNERo,35,"{'fareStageNumber': '12', 'isStageStop': true}",11.0,0,9,50,0.8333333333333334,115,35.66,52,2.24
2204-O-DOWN-54846,1900-01-01 06:27:00,1900-01-01 06:27:15,YJykDsrc,13,"{'fareStageNumber': '5', 'isStageStop': true}",6.0,0,11,56,0.9333333333333332,2204,35.66,52,2.24
165-S-UP-19731,1900-01-01 07:41:15,1900-01-01 07:41:30,dpOKQcMh,6,3,7.0,1,18,26,0.4333333333333333,165,35.66,52,2.24
613-O-DOWN-30308,1900-01-01 10:04:00,1900-01-01 10:04:15,gzTQJVMW,33,"{'fareStageNumber': '19', 'isStageStop': true}",10.0,1,19,14,0.2333333333333333,613,35.66,52,2.24
360-X-UP-59073,1900-01-01 05:57:00,1900-01-01 05:57:15,RtTLxXUv,13,"{'fareStageNumber': '6', 'isStageStop': true}",5.0,0,9,41,0.6833333333333333,360,35.66,52,2.24
96-O-DOWN-60527,1900-01-01 19:15:30,1900-01-01 19:15:45,DjKGsdyb,19,"{'fareStageNumber': '6', 'isStageStop': true}",19.0,1,14,43,0.7166666666666667,96,35.66,52,2.24
2296-O-DOWN-26219,1900-01-01 10:55:30,1900-01-01 10:55:45,kYpOneyC,15,5,10.0,1,7,71,1.1833333333333331,2296,35.66,52,2.24
1044-S-DOWN-8547,1900-01-01 17:16:15,1900-01-01 17:16:30,aYSqaQmJ,6,"{'fareStageNumber': '3', 'isStageStop': true}",17.0,1,16,14,0.2333333333333333,1044,35.66,52,2.24
8-ZE-DOWN-125173,1900-01-01 12:04:45,1900-01-01 12:05:00,RuAJZyMI,32,"{'fareStageNumber': '13', 'isStageStop': true}",12.0,0,7,16,0.2666666666666666,8,35.66,52,2.24
59-S-UP-91770,1900-01-01 13:58:45,1900-01-01 13:59:00,ce3115c68314873cf18631cbedbc1fe3,16,"{'fareStageNumber': '6', 'isStageStop': true}",13.0,0,14,73,1.2166666666666666,59,35.66,52,2.24
2443-O-UP-124037,1900-01-01 09:39:45,1900-01-01 09:40:00,qJgsxHch,32,"{'fareStageNumber': '11', 'isStageStop': true}",9.0,1,5,40,0.6666666666666666,2443,35.66,52,2.24
4191-O-UP-109037,1900-01-01 04:26:45,1900-01-01 04:27:00,1440,4,"{'fareStageNumber': '4', 'isStageStop': true}",4.0,0,7,49,0.8166666666666667,4191,35.66,52,2.24
4800-S-UP-97068,1900-01-01 06:22:00,1900-01-01 06:22:15,113,13,"{'fareStageNumber': '13', 'isStageStop': true}",6.0,0,7,10,0.1666666666666666,4800,35.66,52,2.24
4415-O-DOWN-23466,1900-01-01 12:16:45,1900-01-01 12:17:00,hmRIiXJy,4,"{'fareStageNumber': '2', 'isStageStop': true}",12.0,0,7,40,0.6666666666666666,4415,35.66,52,2.24
2238-S-DOWN-17717,1900-01-01 15:56:30,1900-01-01 15:56:45,AszcEtOu,15,"{'fareStageNumber': '6', 'isStageStop': true}",15.0,0,16,51,0.85,2238,35.66,52,2.24
2696-O-DOWN-55865,1900-01-01 19:19:30,1900-01-01 19:19:45,gUXxyAlR,23,"{'fareStageNumber': '8', 'isStageStop': true}",19.0,1,11,62,1.0333333333333334,2696,35.66,52,2.24
2510-SE-DOWN-109461,1900-01-01 19:11:15,1900-01-01 19:11:30,FyoAuDvn,26,13,19.0,1,0,69,1.15,2510,35.66,52,2.24
4155-O-DOWN-14604,1900-01-01 17:01:30,1900-01-01 17:01:45,1044,3,"{'fareStageNumber': '3', 'isStageStop': true}",17.0,1,19,36,0.6,4155,35.66,52,2.24
4071-X-DOWN-45472,1900-01-01 13:10:00,1900-01-01 13:10:15,New63,5,2,13.0,0,14,64,1.0666666666666669,4071,35.66,52,2.24
73-S-UP-41297,1900-01-01 11:40:00,1900-01-01 11:40:15,122,21,"{'fareStageNumber': '21', 'isStageStop': true}",11.0,0,8,10,0.1666666666666666,73,35.66,52,2.24
1620-XS-UP-132768,1900-01-01 09:17:15,1900-01-01 09:17:30,mDPYPXHa,2,1,9.0,1,19,12,0.2,1620,35.66,52,2.24
5682-SE-DOWN-124636,1900-01-01 12:10:00,1900-01-01 12:10:15,61,1,"{'fareStageNumber': '1', 'isStageStop': true}",12.0,0,3,59,0.9833333333333332,5682,35.66,52,2.24
5707-SE-UP-134053,1900-01-01 18:10:45,1900-01-01 18:11:00,22,8,"{'fareStageNumber': '8', 'isStageStop': true}",18.0,1,18,30,0.5,5707,35.66,52,2.24
3790-O-DOWN-36888,1900-01-01 07:57:30,1900-01-01 07:57:30,249,11,"{'fareStageNumber': '11', 'isStageStop': true}",7.0,1,5,15,0.25,3790,35.66,52,2.24
232-S-DOWN-84895,1900-01-01 07:31:15,1900-01-01 07:31:30,MOTjsakF,6,4,7.0,1,15,70,1.1666666666666667,232,35.66,52,2.24
4899-OS-UP-81466,1900-01-01 14:26:15,1900-01-01 14:26:30,zfmNZkKD,10,"{'fareStageNumber': '4', 'isStageStop': true}",14.0,0,13,40,0.6666666666666666,4899,35.66,52,2.24
2586-O-DOWN-20626,1900-01-01 06:17:30,1900-01-01 06:17:45,xkdRvtRu,11,4,6.0,0,13,71,1.1833333333333331,2586,35.66,52,2.24
3802-O-DOWN-130507,1900-01-01 19:21:30,1900-01-01 19:21:30,ozAxYCwR,35,"{'fareStageNumber': '13', 'isStageStop': true}",19.0,1,6,24,0.4,3802,35.66,52,2.24
3136-S-DOWN-127248,1900-01-01 12:10:00,1900-01-01 12:10:15,BsovYeFI,21,11,12.0,0,3,65,1.0833333333333333,3136,35.66,52,2.24
571-O-UP-44209,1900-01-01 08:39:30,1900-01-01 08:39:45,NzFpkpXH,7,"{'fareStageNumber': '3', 'isStageStop': true}",8.0,1,17,55,0.9166666666666666,571,35.66,52,2.24
2442-X-DOWN-35572,1900-01-01 11:32:45,1900-01-01 11:33:00,bCOJrgoA,40,14,11.0,0,7,10,0.1666666666666666,2442,35.66,52,2.24
2387-O-UP-84344,1900-01-01 19:24:00,1900-01-01 19:24:15,CEyhPnMH,13,"{'fareStageNumber': '4', 'isStageStop': true}",19.0,1,14,69,1.15,2387,35.66,52,2.24
4749-O-UP-50802,1900-01-01 06:44:45,1900-01-01 06:45:00,538,12,"{'fareStageNumber': '12', 'isStageStop': true}",6.0,0,2,26,0.4333333333333333,4749,35.66,52,2.24
2395-O-UP-130810,1900-01-01 08:51:00,1900-01-01 08:51:15,cEOIeJTR,37,10,8.0,1,14,29,0.4833333333333333,2395,35.66,52,2.24
2025-X-DOWN-25445,1900-01-01 17:44:30,1900-01-01 17:44:45,VgPUesLZ,3,2,17.0,1,7,74,1.2333333333333334,2025,35.66,52,2.24
2341-O-UP-130824,1900-01-01 13:58:30,1900-01-01 13:58:45,QdWOxWia,27,9,13.0,0,4,49,0.8166666666666667,2341,35.66,52,2.24
4191-O-UP-109097,1900-01-01 04:44:30,1900-01-01 04:44:45,791,3,"{'fareStageNumber': '3', 'isStageStop': true}",4.0,0,16,52,0.8666666666666667,4191,35.66,52,2.24
2908-O-DOWN-18603,1900-01-01 05:50:00,1900-01-01 05:50:15,19,1,"{'fareStageNumber': '1', 'isStageStop': true}",5.0,0,14,38,0.6333333333333333,2908,35.66,52,2.24
619-O-UP-51163,1900-01-01 11:43:30,1900-01-01 11:43:45,HajxumVd,7,3,11.0,0,12,23,0.3833333333333333,619,35.66,52,2.24
5652-SE-UP-119998,1900-01-01 09:48:45,1900-01-01 09:49:00,NEW_1761233764674,16,6,9.0,1,13,39,0.65,5652,35.66,52,2.24
1569-O-UP-92898,1900-01-01 07:35:45,1900-01-01 07:36:00,PKfyrIVb,8,"{'fareStageNumber': '4', 'isStageStop': true}",7.0,1,3,27,0.45,1569,35.66,52,2.24
419-SE-DOWN-133467,1900-01-01 09:13:00,1900-01-01 09:13:15,GpnhEWuy,49,"{'fareStageNumber': '20', 'isStageStop': true}",9.0,1,2,76,1.2666666666666666,419,35.66,52,2.24
3488-O-DOWN-42260,1900-01-01 14:39:45,1900-01-01 14:40:00,zVYhNTdK,32,10,14.0,0,9,12,0.2,3488,35.66,52,2.24
2218-O-DOWN-16202,1900-01-01 06:46:45,1900-01-01 06:47:00,b29afe1cb696cf6c332407bfdde1579a,24,14,6.0,0,18,46,0.7666666666666667,2218,35.66,52,2.24
3137-S-UP-23695,1900-01-01 16:34:00,1900-01-01 16:34:15,AoRkaUmb,5,3,16.0,0,12,50,0.8333333333333334,3137,35.66,52,2.24
2656-O-DOWN-26295,1900-01-01 10:37:15,1900-01-01 10:37:30,a3562caded4b3497fe3f6a1402259dd1,42,12,10.0,1,9,35,0.5833333333333334,2656,35.66,52,2.24
46-S-DOWN-54104,1900-01-01 08:36:45,1900-01-01 08:37:00,New123,4,"{'fareStageNumber': '2', 'isStageStop': true}",8.0,1,13,38,0.6333333333333333,46,35.66,52,2.24
1861-S-DOWN-93789,1900-01-01 17:19:15,1900-01-01 17:19:30,HajxumVd,14,8,17.0,1,17,34,0.5666666666666667,1861,35.66,52,2.24
103-O-UP-74081,1900-01-01 20:27:30,1900-01-01 20:27:45,tSUFrefk,11,4,20.0,1,10,49,0.8166666666666667,103,35.66,52,2.24
2808-O-UP-41754,1900-01-01 17:11:30,1900-01-01 17:11:45,gFAsBeQM,15,5,17.0,1,17,16,0.2666666666666666,2808,35.66,52,2.24
459-O-DOWN-34657,1900-01-01 17:34:15,1900-01-01 17:34:30,01fe248addcae6d2e5cf68baa415f263,14,5,17.0,1,2,52,0.8666666666666667,459,35.66,52,2.24
1044-S-DOWN-8575,1900-01-01 18:15:45,1900-01-01 18:16:00,CsDsDrdU,8,4,18.0,1,8,45,0.75,1044,35.66,52,2.24
613-S-DOWN-50185,1900-01-01 18:48:15,1900-01-01 18:48:30,ejMjPdTH,26,"{'fareStageNumber': '15', 'isStageStop': true}",18.0,1,14,34,0.5666666666666667,613,35.66,52,2.24
2475-O-DOWN-74671,1900-01-01 07:52:30,1900-01-01 07:52:45,LKVeVUNI,11,"{'fareStageNumber': '5', 'isStageStop': true}",7.0,1,18,72,1.2,2475,35.66,52,2.24
4718-O-UP-48844,1900-01-01 14:04:00,1900-01-01 14:04:15,293,5,"{'fareStageNumber': '5', 'isStageStop': true}",14.0,0,18,66,1.1,4718,35.66,52,2.24
4172-S-UP-20184,1900-01-01 19:57:45,1900-01-01 19:58:00,TCqyxHhF,20,8,19.0,1,8,36,0.6,4172,35.66,52,2.24
2171-O-DOWN-109031,1900-01-01 12:57:45,1900-01-01 12:58:00,LVcdwgEp,20,7,12.0,0,19,27,0.45,2171,35.66,52,2.24
3675-O-DOWN-33135,1900-01-01 11:24:45,1900-01-01 11:25:00,NjRgIRup,12,"{'fareStageNumber': '9', 'isStageStop': true}",11.0,0,17,65,1.0833333333333333,3675,35.66,52,2.24
486-S-DOWN-22047,1900-01-01 19:14:30,1900-01-01 19:14:45,HSiBESUl,23,"{'fareStageNumber': '8', 'isStageStop': true}",19.0,1,13,10,0.1666666666666666,486,35.66,52,2.24
2977-O-DOWN-55148,1900-01-01 15:24:30,1900-01-01 15:24:45,SOBUilCD,3,"{'fareStageNumber': '2', 'isStageStop': true}",15.0,0,1,46,0.7666666666666667,2977,35.66,52,2.24
1866-S-UP-68552,1900-01-01 15:00:00,1900-01-01 15:00:15,210,21,"{'fareStageNumber': '21', 'isStageStop': true}",15.0,0,7,29,0.4833333333333333,1866,35.66,52,2.24
4354-SE-DOWN-137316,1900-01-01 16:54:00,1900-01-01 16:54:15,LsuNFzpq,5,"{'fareStageNumber': '2', 'isStageStop': true}",16.0,0,1,65,1.0833333333333333,4354,35.66,52,2.24
3910-O-UP-32068,1900-01-01 16:05:15,1900-01-01 16:05:30,qkTCgKXX,30,10,16.0,0,14,42,0.7,3910,35.66,52,2.24
2963-O-DOWN-43106,1900-01-01 13:54:45,1900-01-01 13:55:00,FVWAEAei,12,3,13.0,0,6,60,1.0,2963,35.66,52,2.24
2569-S-UP-87760,1900-01-01 09:13:00,1900-01-01 09:13:15,msGFqCDa,5,2,9.0,1,8,73,1.2166666666666666,2569,35.66,52,2.24
2569-O-UP-93176,1900-01-01 10:09:30,1900-01-01 10:09:45,WPcaURVq,3,"{'fareStageNumber': '2', 'isStageStop': true}",10.0,1,16,39,0.65,2569,35.66,52,2.24
3135-O-UP-48375,1900-01-01 08:05:30,1900-01-01 08:05:45,ZKmlngva,47,"{'fareStageNumber': '24', 'isStageStop': true}",8.0,1,0,17,0.2833333333333333,3135,35.66,52,2.24
2857-SE-DOWN-107956,1900-01-01 12:20:30,1900-01-01 12:20:45,aUPouXsN,35,11,12.0,0,5,66,1.1,2857,35.66,52,2.24
419-SE-DOWN-133488,1900-01-01 11:16:00,1900-01-01 11:16:15,FaHpkwNs,37,"{'fareStageNumber': '15', 'isStageStop': true}",11.0,0,10,79,1.3166666666666669,419,35.66,52,2.24
2527-S-DOWN-101138,1900-01-01 22:39:45,1900-01-01 22:40:00,168,12,"{'fareStageNumber': '12', 'isStageStop': true}",22.0,0,6,65,1.0833333333333333,2527,35.66,52,2.24
419-S-DOWN-48645,1900-01-01 17:31:45,1900-01-01 17:32:00,ryJVAbFB,32,13,17.0,1,4,49,0.8166666666666667,419,35.66,52,2.24
3703-S-UP-42679,1900-01-01 13:05:30,1900-01-01 13:05:45,YcVwXeam,39,17,13.0,0,15,45,0.75,3703,35.66,52,2.24
1299-O-UP-105475,1900-01-01 14:31:30,1900-01-01 14:31:45,RtTLxXUv,15,"{'fareStageNumber': '6', 'isStageStop': true}",14.0,0,16,65,1.0833333333333333,1299,35.66,52,2.24
3199-O-DOWN-23006,1900-01-01 07:43:15,1900-01-01 07:43:15,UxgUbJZk,18,"{'fareStageNumber': '6', 'isStageStop': true}",7.0,1,8,28,0.4666666666666667,3199,35.66,52,2.24
2634-S-UP-118555,1900-01-01 08:40:45,1900-01-01 08:41:00,tZiWmgTn,8,"{'fareStageNumber': '3', 'isStageStop': true}",8.0,1,11,53,0.8833333333333333,2634,35.66,52,2.24
2218-S-DOWN-17755,1900-01-01 12:05:30,1900-01-01 12:05:45,iFderoVa,19,12,12.0,0,18,61,1.0166666666666666,2218,35.66,52,2.24
2734-O-DOWN-61247,1900-01-01 18:27:15,1900-01-01 18:27:30,176,2,"{'fareStageNumber': '2', 'isStageStop': true}",18.0,1,11,36,0.6,2734,35.66,52,2.24
5663-SE-DOWN-136794,1900-01-01 04:49:30,1900-01-01 04:49:30,207,3,"{'fareStageNumber': '3', 'isStageStop': true}",4.0,0,17,23,0.3833333333333333,5663,35.66,52,2.24
4080-S-UP-75737,1900-01-01 07:58:00,1900-01-01 07:58:15,AUmOMGnp,49,"{'fareStageNumber': '21', 'isStageStop': true}",7.0,1,13,16,0.2666666666666666,4080,35.66,52,2.24
3962-X-DOWN-38245,1900-01-01 09:37:30,1900-01-01 09:37:45,ZzqCYjTC,7,"{'fareStageNumber': '3', 'isStageStop': true}",9.0,1,16,47,0.7833333333333333,3962,35.66,52,2.24
4417-S-DOWN-45256,1900-01-01 14:09:00,1900-01-01 14:09:15,pPqywgRl,13,5,14.0,0,9,36,0.6,4417,35.66,52,2.24
486-S-DOWN-2923,1900-01-01 14:43:15,1900-01-01 14:43:30,flXjJYer,38,13,14.0,0,4,63,1.05,486,35.66,52,2.24
542-Z-UP-127026,1900-01-01 06:48:45,1900-01-01 06:49:00,wqGWmwVd,36,"{'fareStageNumber': '16', 'isStageStop': true}",6.0,0,5,65,1.0833333333333333,542,35.66,52,2.24
4128-O-UP-75405,1900-01-01 19:24:30,1900-01-01 19:24:45,SgSmBRUr,23,8,19.0,1,12,45,0.75,4128,35.66,52,2.24
5119-S-UP-111369,1900-01-01 23:16:00,1900-01-01 23:16:15,bYNwHuWo,37,18,23.0,0,11,65,1.0833333333333333,5119,35.66,52,2.24
2124-O-DOWN-16180,1900-01-01 16:18:30,1900-01-01 16:18:45,676,7,"{'fareStageNumber': '7', 'isStageStop': true}",16.0,0,12,42,0.7,2124,35.66,52,2.24
2218-O-DOWN-42925,1900-01-01 16:49:00,1900-01-01 16:49:15,b7355e6922adaa1ef15ec72e335f80e7,25,"{'fareStageNumber': '15', 'isStageStop': true}",16.0,0,16,64,1.0666666666666669,2218,35.66,52,2.24
4852-O-UP-55385,1900-01-01 17:16:15,1900-01-01 17:16:30,212,6,"{'fareStageNumber': '6', 'isStageStop': true}",17.0,1,11,53,0.8833333333333333,4852,35.66,52,2.24
3613-O-DOWN-51285,1900-01-01 11:50:00,1900-01-01 11:50:15,gRuqifBH,21,"{'fareStageNumber': '8', 'isStageStop': true}",11.0,0,9,66,1.1,3613,35.66,52,2.24
987-S-DOWN-11671,1900-01-01 12:13:00,1900-01-01 12:13:15,108,5,"{'fareStageNumber': '5', 'isStageStop': true}",12.0,0,12,63,1.05,987,35.66,52,2.24
634-S-DOWN-58995,1900-01-01 04:12:00,1900-01-01 04:12:15,FcnKVDJl,21,10,4.0,0,4,30,0.5,634,35.66,52,2.24
378-O-UP-3959,1900-01-01 18:36:15,1900-01-01 18:36:30,MwUoGUHv,26,12,18.0,1,16,30,0.5,378,35.66,52,2.24
600-S-DOWN-89751,1900-01-01 08:45:00,1900-01-01 08:45:15,188,1,"{'fareStageNumber': '1', 'isStageStop': true}",8.0,1,5,79,1.3166666666666669,600,35.66,52,2.24
4808-O-UP-74237,1900-01-01 20:49:00,1900-01-01 20:49:15,218,5,"{'fareStageNumber': '5', 'isStageStop': true}",20.0,1,12,33,0.55,4808,35.66,52,2.24
5741-SE-DOWN-120892,1900-01-01 13:23:30,1900-01-01 13:23:45,822,7,"{'fareStageNumber': '7', 'isStageStop': true}",13.0,0,19,16,0.2666666666666666,5741,35.66,52,2.24
3726-S-UP-124416,1900-01-01 17:08:45,1900-01-01 17:09:00,1387,16,"{'fareStageNumber': '16', 'isStageStop': true}",17.0,1,9,63,1.05,3726,35.66,52,2.24
293-O-UP-80037,1900-01-01 16:19:45,1900-01-01 16:20:00,nzTRQfUi,32,10,16.0,0,12,66,1.1,293,35.66,52,2.24
46-S-DOWN-54076,1900-01-01 19:02:00,1900-01-01 19:02:15,rZoajhYh,53,21,19.0,1,10,42,0.7,46,35.66,52,2.24
3342-ZE-DOWN-124975,1900-01-01 15:05:00,1900-01-01 15:05:15,tcbhlVZo,1,"{'fareStageNumber': '1', 'isStageStop': true}",15.0,0,2,71,1.1833333333333331,3342,35.66,52,2.24
5707-SE-UP-110224,1900-01-01 20:39:00,1900-01-01 20:39:15,207,5,"{'fareStageNumber': '5', 'isStageStop': true}",20.0,1,4,54,0.9,5707,35.66,52,2.24
432-O-UP-59117,1900-01-01 15:14:00,1900-01-01 15:14:00,DFiOxLfP,25,"{'fareStageNumber': '11', 'isStageStop': true}",15.0,0,6,78,1.3,432,35.66,52,2.24
4012-O-UP-19337,1900-01-01 17:35:00,1900-01-01 17:35:15,TcEVvOUM,21,7,17.0,1,6,38,0.6333333333333333,4012,35.66,52,2.24
3792-S-DOWN-54716,1900-01-01 09:56:45,1900-01-01 09:57:00,ByOODIxa,24,8,9.0,1,10,67,1.1166666666666667,3792,35.66,52,2.24
5707-O-UP-118402,1900-01-01 11:08:30,1900-01-01 11:08:45,139,7,"{'fareStageNumber': '7', 'isStageStop': true}",11.0,0,5,68,1.1333333333333333,5707,35.66,52,2.24
4355-O-UP-105241,1900-01-01 19:45:30,1900-01-01 19:45:45,TmzVTgQO,19,"{'fareStageNumber': '10', 'isStageStop': true}",19.0,1,14,60,1.0,4355,35.66,52,2.24
3461-O-DOWN-84393,1900-01-01 07:07:15,1900-01-01 07:07:30,bJgWTLyg,2,1,7.0,1,19,23,0.3833333333333333,3461,35.66,52,2.24
509-O-UP-59736,1900-01-01 16:53:45,1900-01-01 16:54:00,veAXvdUO,4,2,16.0,0,1,60,1.0,509,35.66,52,2.24
4576-X-UP-15829,1900-01-01 10:31:45,1900-01-01 10:32:00,yXOuyCwN,8,2,10.0,1,17,73,1.2166666666666666,4576,35.66,52,2.24
4037-O-DOWN-89828,1900-01-01 06:32:15,1900-01-01 06:32:30,YnUujGmz,2,1,6.0,0,1,70,1.1666666666666667,4037,35.66,52,2.24
5173-S-DOWN-98462,1900-01-01 23:54:45,1900-01-01 23:55:00,fzSWURzx,12,7,23.0,0,1,46,0.7666666666666667,5173,35.66,52,2.24
